unit,502,399,0,0,0,0
adminer,35,24,21,19,0,4
notary,4,3,4,3,0,3
fluentd,49,143,40,77,0,16
couchdb,12,15,10,10,0,0
oraclelinux,121,120,52,48,0,2
clojure,35,63,24,25,0,0
nats-streaming,20,26,20,26,0,6
centos,43,69,0,0,0,8
maven,42,53,27,20,0,0
rockylinux,18,8,0,0,0,1
percona,32,79,19,61,0,3
websphere-liberty,155,71,36,14,0,12
kong,60,75,42,46,0,10
buildpack-deps,36,40,27,25,0,1
bonita,63,142,0,41,0,12
solr,1832,1120,0,7,0,3
gradle,52,68,45,54,0,3
influxdb,77,129,66,104,1,1
nats,24,53,22,52,0,8
crate,61,67,44,48,0,13
nginx,36,45,23,26,0,0
convertigo,968,656,0,0,0,0
jruby,19,13,19,10,0,0
almalinux,56,18,2,0,0,10
groovy,39,36,34,30,0,0
sonarqube,33,41,26,31,0,0
amazoncorretto,38,42,26,28,0,0
elasticsearch,12,57,10,47,0,3
joomla,55,39,43,33,0,0
